,Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,*SAT or ACT,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Average Debt,Cost Rank
0,1,California Institute of Technology,CA,939,21,100,3,71,85,10,32682,10981,100,93,18553,10244,4
1,2,Rice University,TX,2787,24,92,5,68,89,19,28350,14779,100,88,22418,12705,5
2,3,Williams College,MA,1985,23,93,8,89,94,1,36550,14737,100,89,33251,12316,26
3,4,Swarthmore College,PA,1479,24,98,8,86,92,4,38676,17386,100,85,11404,12759,21
4,5,Amherst College,MA,1618,18,94,9,84,94,5,38492,14453,100,92,33411,11544,38
5,6,Webb Institute,NY,67,42,100,7,79,83,39,8079,5579,20,100,8079,5700,1
6,7,Yale University,CT,5339,8,97,7,88,95,3,38432,15729,100,89,38432,19228,53
7,8,Washington and Lee University,VA,1750,31,89,11,86,89,30,30225,15452,99,87,22063,15634,9
8,9,Harvard University,MA,6637,11,90,8,86,97,8,38831,17456,100,90,33201,10465,46
9,10,Stanford University,CA,7360,13,95,7,77,93,6,38875,17746,100,86,33709,15782,62
10,11,Princeton University,NJ,4779,11,97,5,91,97,7,40169,18325,100,94,40169,12000,59
11,12,Massachusetts Institute of Technology,MA,4178,16,100,6,82,91,2,39213,19609,100,85,30337,22855,82
12,13,Pomona College,CA,1551,23,98,9,83,88,21,38130,17411,100,80,35702,15600,43
13,14,Emory University,GA,6302,42,94,7,82,87,15,37272,19657,100,73,23615,17675,54
14,15,Columbia University,NY,4109,12,93,7,83,93,13,39493,17778,100,86,39493,15331,65
15,16,Duke University,NC,6206,25,94,11,88,93,11,40080,19996,100,80,26599,20025,68
16,17,Davidson College,NC,1645,34,89,10,89,91,27,34706,21455,100,82,28630,13697,37
17,18,Wellesley College,MA,2300,47,89,9,84,88,32,37419,17526,100,88,32919,15697,35
18,19,Vassar College,NY,2472,31,93,9,81,87,22,37870,19404,100,78,34669,17170,64
19,20,Haverford College,PA,1105,32,90,8,89,92,20,38928,17826,100,90,38928,15253,66
20,21,Northwestern University,IL,7946,33,92,7,83,92,17,38817,20376,100,79,36538,14551,74
21,22,Bowdoin College,ME,1657,25,92,10,83,90,25,38663,17773,100,85,37663,15307,58
22,23,University of Pennsylvania,PA,9742,21,96,6,83,91,9,39040,20596,100,77,39040,20247,93
23,24,Johns Hopkins University,MD,4112,35,93,8,81,88,29,39188,19142,95,80,24206,13600,48
24,25,Cooper Union,NY,917,14,83,7,57,78,61,14652,11167,92,62,14653,9250,3
25,26,Washington University,MO,7219,24,98,7,75,86,16,39253,20700,100,81,30581,0,87
26,27,Dartmouth College,NH,4118,23,96,9,87,95,12,38898,19546,100,76,36482,0,92
27,28,Claremont McKenna College,CA,1024,28,95,7,82,86,37,37730,17988,100,86,31570,16914,41
28,29,University of Notre Dame,IN,8261,34,91,12,88,95,36,35392,18011,100,74,26304,25595,45
29,30,Colgate University,NY,2827,34,86,10,85,89,31,38820,18856,100,85,38820,12984,67
30,31,The Colorado College,CO,1902,53,70,9,72,79,57,35275,16516,95,88,19645,13500,10
31,32,University of Richmond,VA,2998,41,83,10,79,84,48,31679,17588,96,80,21227,16115,12
32,33,Georgetown University,DC,6332,21,89,11,86,91,14,39182,24382,100,68,32832,20000,97
33,34,Brown University,RI,6030,17,90,8,79,94,23,40248,20838,100,83,37243,21700,91
34,35,Carleton College,MN,1932,35,89,9,82,86,34,35288,21677,100,72,32968,14543,56
35,36,Lafayette College,PA,2300,36,78,11,79,84,47,35713,15147,94,100,25050,17380,19
36,37,Middlebury College,VT,2297,27,96,11,81,87,18,39532,18288,100,79,39532,21751,98
37,38,Grinnell College,IA,1485,65,87,10,78,84,55,31460,16585,100,76,23312,13854,17
38,39,Illinois Wesleyan University,IL,2107,48,96,12,76,81,44,30780,18858,95,72,23095,17722,27
39,40,Bates College,ME,1738,28,91,10,82,87,28,38932,18258,100,85,38932,17045,88
40,41,Cornell University,NY,13725,29,92,9,82,90,26,38974,23122,100,69,38974,15587,95
